unit,n,floor,system,auc,acc,sens,spec,fn
BREAST,210,0.95,S4,0.9228235294117647,0.8047619047619048,0.9411764705882353,0.712,5
PATIENT,201,0.7,S1,0.9040567951318458,0.8208955223880597,0.8352941176470589,0.8103448275862069,14
PATIENT,201,0.7,S2,0.9040567951318458,0.845771144278607,0.8352941176470589,0.853448275862069,14
PATIENT,201,0.7,S3,0.9228194726166329,0.8507462686567164,0.8588235294117647,0.8448275862068966,12
PATIENT,201,0.7,S4,0.9228194726166329,0.8407960199004975,0.7411764705882353,0.9137931034482759,22
PATIENT,201,0.75,S1,0.9040567951318458,0.8208955223880597,0.8352941176470589,0.8103448275862069,14
PATIENT,201,0.75,S2,0.9040567951318458,0.845771144278607,0.8352941176470589,0.853448275862069,14
PATIENT,201,0.75,S3,0.9228194726166329,0.8507462686567164,0.8588235294117647,0.8448275862068966,12
PATIENT,201,0.75,S4,0.9228194726166329,0.8407960199004975,0.7411764705882353,0.9137931034482759,22
PATIENT,201,0.8,S1,0.9040567951318458,0.8208955223880597,0.8352941176470589,0.8103448275862069,14
PATIENT,201,0.8,S2,0.9040567951318458,0.845771144278607,0.8352941176470589,0.853448275862069,14
PATIENT,201,0.8,S3,0.9228194726166329,0.8507462686567164,0.8588235294117647,0.8448275862068966,12
PATIENT,201,0.8,S4,0.9228194726166329,0.8407960199004975,0.7411764705882353,0.9137931034482759,22
PATIENT,201,0.85,S1,0.9040567951318458,0.8258706467661692,0.8823529411764706,0.7844827586206896,10
PATIENT,201,0.85,S2,0.9040567951318458,0.845771144278607,0.8352941176470589,0.853448275862069,14
PATIENT,201,0.85,S3,0.9228194726166329,0.8407960199004975,0.8705882352941177,0.8189655172413793,11
PATIENT,201,0.85,S4,0.9228194726166329,0.8557213930348259,0.8705882352941177,0.8448275862068966,11
PATIENT,201,0.88,S1,0.9040567951318458,0.8258706467661692,0.8823529411764706,0.7844827586206896,10
PATIENT,201,0.88,S2,0.9040567951318458,0.8507462686567164,0.8823529411764706,0.8275862068965517,10
PATIENT,201,0.88,S3,0.9228194726166329,0.8407960199004975,0.8705882352941177,0.8189655172413793,11
PATIENT,201,0.88,S4,0.9228194726166329,0.8407960199004975,0.8705882352941177,0.8189655172413793,11
PATIENT,201,0.9,S1,0.9040567951318458,0.7910447761194029,0.8941176470588236,0.7155172413793104,9
PATIENT,201,0.9,S2,0.9040567951318458,0.8507462686567164,0.8823529411764706,0.8275862068965517,10
PATIENT,201,0.9,S3,0.9228194726166329,0.835820895522388,0.8941176470588236,0.7931034482758621,9
PATIENT,201,0.9,S4,0.9228194726166329,0.845771144278607,0.8823529411764706,0.8189655172413793,10
PATIENT,201,0.92,S1,0.9040567951318458,0.7512437810945274,0.9294117647058824,0.6206896551724138,6
PATIENT,201,0.92,S2,0.9040567951318458,0.8258706467661692,0.9176470588235294,0.7586206896551724,7
PATIENT,201,0.92,S3,0.9228194726166329,0.835820895522388,0.9058823529411765,0.7844827586206896,8
PATIENT,201,0.92,S4,0.9228194726166329,0.8258706467661692,0.9058823529411765,0.7672413793103449,8
PATIENT,201,0.95,S1,0.9040567951318458,0.6965174129353234,0.9529411764705882,0.5086206896551724,4
PATIENT,201,0.95,S2,0.9040567951318458,0.8059701492537313,0.9294117647058824,0.7155172413793104,6
PATIENT,201,0.95,S3,0.9228194726166329,0.7960199004975125,0.9529411764705882,0.6810344827586207,4
PATIENT,201,0.95,S4,0.9228194726166329,0.7910447761194029,0.9411764705882353,0.6810344827586207,5
