thr,TN,FP,FN,TP,recall,spec,prec,npv,acc,bal,f1
0.175,36,195,3,144,0.9795918367346939,0.15584415584415584,0.4247787610619469,0.9230769230769231,0.47619047619047616,0.5677179962894249,0.5925925925925926
0.18,38,193,3,144,0.9795918367346939,0.1645021645021645,0.42729970326409494,0.926829268292683,0.48148148148148145,0.5720470006184292,0.5950413223140496
0.185,39,192,3,144,0.9795918367346939,0.16883116883116883,0.42857142857142855,0.9285714285714286,0.48412698412698413,0.5742115027829313,0.5962732919254659
0.19,44,187,3,144,0.9795918367346939,0.19047619047619047,0.4350453172205438,0.9361702127659575,0.4973544973544973,0.5850340136054422,0.602510460251046
0.195,45,186,4,143,0.9727891156462585,0.19480519480519481,0.43465045592705165,0.9183673469387755,0.4973544973544973,0.5837971552257266,0.6008403361344538
0.19999999999999996,48,183,4,143,0.9727891156462585,0.2077922077922078,0.4386503067484663,0.9230769230769231,0.5052910052910053,0.5902906617192332,0.6046511627906976
0.20499999999999996,53,178,4,143,0.9727891156462585,0.22943722943722944,0.4454828660436137,0.9298245614035088,0.5185185185185185,0.601113172541744,0.6111111111111112
0.20999999999999996,54,177,4,143,0.9727891156462585,0.23376623376623376,0.446875,0.9310344827586207,0.5211640211640212,0.6032776747062462,0.6124197002141327
0.21499999999999997,55,176,4,143,0.9727891156462585,0.23809523809523808,0.4482758620689655,0.9322033898305084,0.5238095238095238,0.6054421768707483,0.6137339055793991
0.21999999999999997,56,175,4,143,0.9727891156462585,0.24242424242424243,0.449685534591195,0.9333333333333333,0.5264550264550265,0.6076066790352505,0.6150537634408603
0.22499999999999998,58,173,4,143,0.9727891156462585,0.2510822510822511,0.4525316455696203,0.9354838709677419,0.5317460317460317,0.6119356833642547,0.6177105831533477
0.22999999999999998,62,169,4,143,0.9727891156462585,0.2683982683982684,0.4583333333333333,0.9393939393939394,0.5423280423280423,0.6205936920222634,0.6230936819172114
0.235,63,168,5,142,0.9659863945578231,0.2727272727272727,0.45806451612903226,0.9264705882352942,0.5423280423280423,0.6193568336425479,0.6214442013129103
0.24,66,165,5,142,0.9659863945578231,0.2857142857142857,0.46254071661237783,0.9295774647887324,0.5502645502645502,0.6258503401360545,0.6255506607929515
0.245,67,164,5,142,0.9659863945578231,0.29004329004329005,0.46405228758169936,0.9305555555555556,0.5529100529100529,0.6280148423005566,0.6269315673289183
0.24999999999999994,67,164,6,141,0.9591836734693877,0.29004329004329005,0.46229508196721314,0.9178082191780822,0.5502645502645502,0.6246134817563389,0.6238938053097345
0.25499999999999995,70,161,6,141,0.9591836734693877,0.30303030303030304,0.46688741721854304,0.9210526315789473,0.5582010582010583,0.6311069882498453,0.6280623608017817
0.25999999999999995,72,159,7,140,0.9523809523809523,0.3116883116883117,0.4682274247491639,0.9113924050632911,0.5608465608465608,0.632034632034632,0.6278026905829597
0.26499999999999996,73,158,7,140,0.9523809523809523,0.31601731601731603,0.4697986577181208,0.9125,0.5634920634920635,0.6341991341991342,0.6292134831460674
0.26999999999999996,75,156,8,139,0.9455782312925171,0.3246753246753247,0.4711864406779661,0.9036144578313253,0.5661375661375662,0.6351267779839209,0.6289592760180995
0.27499999999999997,78,153,8,139,0.9455782312925171,0.33766233766233766,0.476027397260274,0.9069767441860465,0.5740740740740741,0.6416202844774274,0.6332574031890661
0.27999999999999997,80,151,8,139,0.9455782312925171,0.3463203463203463,0.4793103448275862,0.9090909090909091,0.5793650793650794,0.6459492888064317,0.6361556064073226
0.285,82,149,8,139,0.9455782312925171,0.354978354978355,0.4826388888888889,0.9111111111111111,0.5846560846560847,0.6502782931354361,0.639080459770115
0.29,84,147,8,139,0.9455782312925171,0.36363636363636365,0.486013986013986,0.9130434782608695,0.58994708994709,0.6546072974644404,0.6420323325635104
0.295,88,143,9,138,0.9387755102040817,0.38095238095238093,0.49110320284697506,0.9072164948453608,0.5978835978835979,0.6598639455782314,0.6448598130841121
0.3,90,141,9,138,0.9387755102040817,0.38961038961038963,0.4946236559139785,0.9090909090909091,0.6031746031746031,0.6641929499072357,0.647887323943662
0.30499999999999994,93,138,10,137,0.9319727891156463,0.4025974025974026,0.49818181818181817,0.9029126213592233,0.6084656084656085,0.6672850958565244,0.6492890995260664
0.30999999999999994,94,137,12,135,0.9183673469387755,0.4069264069264069,0.4963235294117647,0.8867924528301887,0.6058201058201058,0.6626468769325913,0.6443914081145584
0.31499999999999995,94,137,13,134,0.9115646258503401,0.4069264069264069,0.4944649446494465,0.8785046728971962,0.6031746031746031,0.6592455163883735,0.6411483253588517
0.31999999999999995,94,137,13,134,0.9115646258503401,0.4069264069264069,0.4944649446494465,0.8785046728971962,0.6031746031746031,0.6592455163883735,0.6411483253588517
0.32499999999999996,99,132,13,134,0.9115646258503401,0.42857142857142855,0.5037593984962406,0.8839285714285714,0.6164021164021164,0.6700680272108843,0.648910411622276
0.32999999999999996,101,130,13,134,0.9115646258503401,0.43722943722943725,0.5075757575757576,0.8859649122807017,0.6216931216931217,0.6743970315398887,0.6520681265206812
0.33499999999999996,106,125,15,132,0.8979591836734694,0.4588744588744589,0.5136186770428015,0.8760330578512396,0.6296296296296297,0.6784168212739641,0.6534653465346535
0.33999999999999997,108,123,16,131,0.891156462585034,0.4675324675324675,0.515748031496063,0.8709677419354839,0.6322751322751323,0.6793444650587508,0.6533665835411472
0.3449999999999999,109,122,16,131,0.891156462585034,0.47186147186147187,0.5177865612648221,0.872,0.6349206349206349,0.6815089672232529,0.655
0.3499999999999999,109,122,19,128,0.8707482993197279,0.47186147186147187,0.512,0.8515625,0.626984126984127,0.6713048855905999,0.6448362720403022
0.3549999999999999,110,121,19,128,0.8707482993197279,0.47619047619047616,0.5140562248995983,0.8527131782945736,0.6296296296296297,0.673469387755102,0.6464646464646465
0.35999999999999993,114,117,19,128,0.8707482993197279,0.4935064935064935,0.5224489795918368,0.8571428571428571,0.6402116402116402,0.6821273964131107,0.6530612244897959
0.36499999999999994,115,116,19,128,0.8707482993197279,0.49783549783549785,0.5245901639344263,0.8582089552238806,0.6428571428571429,0.6842918985776129,0.6547314578005116
0.36999999999999994,118,113,21,126,0.8571428571428571,0.5108225108225108,0.5271966527196653,0.8489208633093526,0.6455026455026455,0.6839826839826839,0.6528497409326425
0.37499999999999994,119,112,21,126,0.8571428571428571,0.5151515151515151,0.5294117647058824,0.85,0.6481481481481481,0.6861471861471862,0.6545454545454545
0.37999999999999995,121,110,22,125,0.8503401360544217,0.5238095238095238,0.5319148936170213,0.8461538461538461,0.6507936507936508,0.6870748299319728,0.6544502617801047
0.38499999999999995,122,109,22,125,0.8503401360544217,0.5281385281385281,0.5341880341880342,0.8472222222222222,0.6534391534391535,0.6892393320964749,0.6561679790026247
0.38999999999999996,125,106,23,124,0.8435374149659864,0.5411255411255411,0.5391304347826087,0.8445945945945946,0.6587301587301587,0.6923314780457638,0.6578249336870027
0.39499999999999996,127,104,23,124,0.8435374149659864,0.5497835497835498,0.543859649122807,0.8466666666666667,0.6640211640211641,0.6966604823747682,0.6613333333333333
0.3999999999999999,128,103,23,124,0.8435374149659864,0.5541125541125541,0.5462555066079295,0.847682119205298,0.6666666666666666,0.6988249845392702,0.6631016042780749
0.4049999999999999,129,102,23,124,0.8435374149659864,0.5584415584415584,0.5486725663716814,0.8486842105263158,0.6693121693121693,0.7009894867037725,0.6648793565683646
0.4099999999999999,129,102,23,124,0.8435374149659864,0.5584415584415584,0.5486725663716814,0.8486842105263158,0.6693121693121693,0.7009894867037725,0.6648793565683646
